i 146  prescaler: 6  frequenzy 54794 
i 147  prescaler: 5  frequenzy 65306 
i 148  prescaler: 5  frequenzy 64864 
i 149  prescaler: 5  frequenzy 64429 
i 150  prescaler: 5  frequenzy 64000 
i 151  prescaler: 5  frequenzy 63576 
i 152  prescaler: 5  frequenzy 63157 
i 153  prescaler: 5  frequenzy 62745 
i 154  prescaler: 5  frequenzy 62337 
i 155  prescaler: 5  frequenzy 61935 
i 156  prescaler: 5  frequenzy 61538 
i 157  prescaler: 5  frequenzy 61146 
i 158  prescaler: 5  frequenzy 60759 
i 159  prescaler: 5  frequenzy 60377 
i 160  prescaler: 5  frequenzy 60000 
i 161  prescaler: 5  frequenzy 59627 
i 162  prescaler: 5  frequenzy 59259 
i 163  prescaler: 5  frequenzy 58895 
i 164  prescaler: 5  frequenzy 58536 
i 165  prescaler: 5  frequenzy 58181 
i 166  prescaler: 5  frequenzy 57831 
i 167  prescaler: 5  frequenzy 57485 
i 168  prescaler: 5  frequenzy 57142 
i 169  prescaler: 5  frequenzy 56804 
i 170  prescaler: 5  frequenzy 56470 
i 171  prescaler: 5  frequenzy 56140 
i 172  prescaler: 5  frequenzy 55813 
i 173  prescaler: 5  frequenzy 55491 
i 174  prescaler: 5  frequenzy 55172 
i 175  prescaler: 5  frequenzy 54857 
i 176  prescaler: 5  frequenzy 54545 
i 177  prescaler: 5  frequenzy 54237 
i 178  prescaler: 5  frequenzy 53932 
i 179  prescaler: 5  frequenzy 53631 
i 180  prescaler: 5  frequenzy 53333 
i 181  prescaler: 5  frequenzy 53038 
i 182  prescaler: 5  frequenzy 52747 
i 183  prescaler: 5  frequenzy 52459 
i 184  prescaler: 4  frequenzy 65217 
i 185  prescaler: 4  frequenzy 64864 
i 186  prescaler: 4  frequenzy 64516 
i 187  prescaler: 4  frequenzy 64171 
i 188  prescaler: 4  frequenzy 63829 
i 189  prescaler: 4  frequenzy 63492 
i 190  prescaler: 4  frequenzy 63157 
i 191  prescaler: 4  frequenzy 62827 
i 192  prescaler: 4  frequenzy 62500 
i 193  prescaler: 4  frequenzy 62176 
i 194  prescaler: 4  frequenzy 61855 
i 195  prescaler: 4  frequenzy 61538 
i 196  prescaler: 4  frequenzy 61224 
i 197  prescaler: 4  frequenzy 60913 
i 198  prescaler: 4  frequenzy 60606 
i 199  prescaler: 4  frequenzy 60301 
i 200  prescaler: 4  frequenzy 60000 
i 201  prescaler: 4  frequenzy 59701 
i 202  prescaler: 4  frequenzy 59405 
i 203  prescaler: 4  frequenzy 59113 
i 204  prescaler: 4  frequenzy 58823 
i 205  prescaler: 4  frequenzy 58536 
i 206  prescaler: 4  frequenzy 58252 
i 207  prescaler: 4  frequenzy 57971 
i 208  prescaler: 4  frequenzy 57692 
i 209  prescaler: 4  frequenzy 57416 
i 210  prescaler: 4  frequenzy 57142 
i 211  prescaler: 4  frequenzy 56872 
i 212  prescaler: 4  frequenzy 56603 
i 213  prescaler: 4  frequenzy 56338 
i 214  prescaler: 4  frequenzy 56074 
i 215  prescaler: 4  frequenzy 55813 
i 216  prescaler: 4  frequenzy 55555 
i 217  prescaler: 4  frequenzy 55299 
i 218  prescaler: 4  frequenzy 55045 
i 219  prescaler: 4  frequenzy 54794 
i 220  prescaler: 4  frequenzy 54545 
i 221  prescaler: 4  frequenzy 54298 
i 222  prescaler: 4  frequenzy 54054 
i 223  prescaler: 4  frequenzy 53811 
i 224  prescaler: 4  frequenzy 53571 
i 225  prescaler: 4  frequenzy 53333 
i 226  prescaler: 4  frequenzy 53097 
i 227  prescaler: 4  frequenzy 52863 
i 228  prescaler: 4  frequenzy 52631 
i 229  prescaler: 4  frequenzy 52401 
i 230  prescaler: 4  frequenzy 52173 
i 231  prescaler: 4  frequenzy 51948 
i 232  prescaler: 4  frequenzy 51724 
i 233  prescaler: 4  frequenzy 51502 
i 234  prescaler: 4  frequenzy 51282 
i 235  prescaler: 4  frequenzy 51063 
i 236  prescaler: 4  frequenzy 50847 
i 237  prescaler: 4  frequenzy 50632 
i 238  prescaler: 4  frequenzy 50420 
i 239  prescaler: 4  frequenzy 50209 
i 240  prescaler: 4  frequenzy 50000 
i 241  prescaler: 4  frequenzy 49792 
i 242  prescaler: 4  frequenzy 49586 
i 243  prescaler: 4  frequenzy 49382 
i 244  prescaler: 4  frequenzy 49180 
i 245  prescaler: 3  frequenzy 65306 
i 246  prescaler: 3  frequenzy 65040 
i 247  prescaler: 3  frequenzy 64777 
i 248  prescaler: 3  frequenzy 64516 
i 249  prescaler: 3  frequenzy 64257 
i 250  prescaler: 3  frequenzy 64000 
i 251  prescaler: 3  frequenzy 63745 
i 252  prescaler: 3  frequenzy 63492 
i 253  prescaler: 3  frequenzy 63241 
i 254  prescaler: 3  frequenzy 62992 
i 255  prescaler: 3  frequenzy 62745 
i 256  prescaler: 3  frequenzy 62500 
i 257  prescaler: 3  frequenzy 62256 
i 258  prescaler: 3  frequenzy 62015 
i 259  prescaler: 3  frequenzy 61776 
i 260  prescaler: 3  frequenzy 61538 
i 261  prescaler: 3  frequenzy 61302 
i 262  prescaler: 3  frequenzy 61068 
i 263  prescaler: 3  frequenzy 60836 
